Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4030162,AIR_11,COUNTRY,UKR,YEAR,EUR,Europe,SEX,SEX_FMLE,2014,GHECAUSE,GHECAUSE_GHE000390,,,,,158 [14-430],157.958,13.877,429.541,,2024-10-03T16:28:23.683+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4030271,AIR_11,COUNTRY,GHA,YEAR,AFR,Africa,SEX,SEX_MLE,2010,GHECAUSE,GHECAUSE_GHE001140,,,,,1968 [1190-3031],1967.703,1189.557,3031.379,,2024-10-03T16:28:23.683+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4030573,AIR_11,COUNTRY,MDV,YEAR,SEAR,South-East Asia,SEX,SEX_MLE,2014,GHECAUSE,GHECAUSE_GHE000000,,,,,9 [0-30],8.54,0.202,30.213,,2024-10-03T16:28:23.683+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4030592,AIR_11,COUNTRY,GEO,YEAR,EUR,Europe,SEX,SEX_BTSX,2012,GHECAUSE,GHECAUSE_GHE001130,,,,,2300 [1211-3701],2299.828,1211.119,3700.941,,2024-10-03T16:28:23.683+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4031749,AIR_11,COUNTRY,MAR,YEAR,EMR,Eastern Mediterranean,SEX,SEX_BTSX,2012,GHECAUSE,GHECAUSE_GHE001140,,,,,565 [11-2135],565.331,10.756,2135.015,,2024-10-03T16:28:23.683+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4032293,AIR_11,COUNTRY,LTU,YEAR,EUR,Europe,SEX,SEX_MLE,2018,GHECAUSE,GHECAUSE_GHE001180,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4032608,AIR_11,COUNTRY,VUT,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2010,GHECAUSE,GHECAUSE_GHE000390,,,,,24 [18-28],23.713,18.093,28.125,,2024-10-03T16:28:23.683+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4032692,AIR_11,COUNTRY,ARG,YEAR,AMR,Americas,SEX,SEX_FMLE,2016,GHECAUSE,GHECAUSE_GHE000390,,,,,204 [0-1344],203.909,0,1344.214,,2024-10-03T16:28:23.683+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4033086,AIR_11,COUNTRY,CAN,YEAR,AMR,Americas,SEX,SEX_BTSX,2012,GHECAUSE,GHECAUSE_GHE001130,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4033850,AIR_11,COUNTRY,CYP,YEAR,EUR,Europe,SEX,SEX_BTSX,2010,GHECAUSE,GHECAUSE_GHE000390,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4033913,AIR_11,COUNTRY,MUS,YEAR,AFR,Africa,SEX,SEX_MLE,2016,GHECAUSE,GHECAUSE_GHE000390,,,,,4 [0-16],3.992,0,15.827,,2024-10-03T16:28:23.683+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4033941,AIR_11,COUNTRY,HTI,YEAR,AMR,Americas,SEX,SEX_FMLE,2018,GHECAUSE,GHECAUSE_GHE000680,,,,,139 [116-161],139.453,115.65,160.701,,2024-10-03T16:28:23.683+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4034302,AIR_11,REGION,AFR,YEAR,,,SEX,SEX_BTSX,2014,GHECAUSE,GHECAUSE_GHE001140,,,,,117 890 [74 279-178 091],117889.973,74279.019,178091.199,,2024-10-03T16:28:23.683+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4034583,AIR_11,COUNTRY,MNG,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2010,GHECAUSE,GHECAUSE_GHE000390,,,,,104 [75-129],103.578,74.703,128.805,,2024-10-03T16:28:23.683+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4034720,AIR_11,COUNTRY,KGZ,YEAR,EUR,Europe,SEX,SEX_FMLE,2011,GHECAUSE,GHECAUSE_GHE000000,,,,,1368 [755-2108],1368.144,754.769,2108.243,,2024-10-03T16:28:23.683+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4034809,AIR_11,COUNTRY,MKD,YEAR,EUR,Europe,SEX,SEX_BTSX,2011,GHECAUSE,GHECAUSE_GHE001180,,,,,121 [8-300],120.871,7.731,299.908,,2024-10-03T16:28:23.683+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4035048,AIR_11,COUNTRY,TZA,YEAR,AFR,Africa,SEX,SEX_FMLE,2018,GHECAUSE,GHECAUSE_GHE000680,,,,,30 [27-34],30.39,26.558,33.751,,2024-10-03T16:28:23.683+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4035269,AIR_11,COUNTRY,CMR,YEAR,AFR,Africa,SEX,SEX_FMLE,2016,GHECAUSE,GHECAUSE_GHE001180,,,,,426 [293-662],426.371,292.748,662.235,,2024-10-03T16:28:23.683+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4035661,AIR_11,COUNTRY,ITA,YEAR,EUR,Europe,SEX,SEX_MLE,2013,GHECAUSE,GHECAUSE_GHE001140,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4036459,AIR_11,COUNTRY,COL,YEAR,AMR,Americas,SEX,SEX_BTSX,2012,GHECAUSE,GHECAUSE_GHE000680,,,,,443 [78-864],442.824,77.724,864.057,,2024-10-03T16:28:23.683+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4036776,AIR_11,COUNTRY,ECU,YEAR,AMR,Americas,SEX,SEX_FMLE,2014,GHECAUSE,GHECAUSE_GHE001140,,,,,91 [9-264],90.576,8.82,263.822,,2024-10-03T16:28:23.683+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4036905,AIR_11,COUNTRY,VUT,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2014,GHECAUSE,GHECAUSE_GHE001130,,,,,89 [69-109],88.838,69.071,109.133,,2024-10-03T16:28:23.683+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4037021,AIR_11,COUNTRY,DOM,YEAR,AMR,Americas,SEX,SEX_BTSX,2018,GHECAUSE,GHECAUSE_GHE001140,,,,,402 [135-913],402.261,135.172,913.348,,2024-10-03T16:28:23.683+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4037699,AIR_11,COUNTRY,JAM,YEAR,AMR,Americas,SEX,SEX_FMLE,2011,GHECAUSE,GHECAUSE_GHE001180,,,,,10 [2-26],10.049,1.848,25.706,,2024-10-03T16:28:23.683+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4037987,AIR_11,COUNTRY,ROU,YEAR,EUR,Europe,SEX,SEX_FMLE,2019,GHECAUSE,GHECAUSE_GHE001140,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4038422,AIR_11,COUNTRY,TKM,YEAR,EUR,Europe,SEX,SEX_MLE,2011,GHECAUSE,GHECAUSE_GHE001130,,,,,22 [0-159],21.628,0,158.798,,2024-10-03T16:28:23.683+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4038519,AIR_11,COUNTRY,COL,YEAR,AMR,Americas,SEX,SEX_FMLE,2017,GHECAUSE,GHECAUSE_GHE001140,,,,,426 [47-1111],426.119,47.284,1110.665,,2024-10-03T16:28:23.683+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
